timestamp,asset_id,cpu_pct,memory_pct,latency_ms,error_rate,throughput_rps
2026-08-01T10:00:00Z,APP-PORTAL-001,41,62,190,0.004,320
2026-08-01T10:00:00Z,APP-PAY-001,55,70,105,0.002,510
2026-08-01T10:00:00Z,APP-IDP-001,38,58,48,0.001,900
2026-08-01T10:00:00Z,APP-LOAN-001,72,81,260,0.015,140
2026-08-01T10:00:00Z,APP-MF-001,64,77,680,0.021,95
2026-08-01T10:00:00Z,APP-RISK-001,48,66,340,0.008,60
2026-08-01T10:00:00Z,APP-DWH-001,80,85,0,0.000,12
2026-08-01T10:00:00Z,APP-NOTIFY-001,22,40,120,0.006,210
2026-08-01T10:00:00Z,APP-REPORT-001,35,55,480,0.009,40
2026-08-01T10:00:00Z,APP-DOCS-001,44,60,210,0.005,75
2026-08-01T10:00:00Z,APP-STALE-001,5,12,0,0.000,0
2026-08-02T10:00:00Z,APP-PAY-001,61,74,130,0.003,490
2026-08-02T10:00:00Z,APP-LOAN-001,78,84,310,0.018,135
2026-08-02T10:00:00Z,APP-MF-001,70,79,720,0.025,90
